Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate
M,left,Lure,0,37,37,37,2908.376449,2910.377163,left,1,0,1.97,0.55491363,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
F,left,Distractor,0,38,38,38,2911.87581,2913.877175,left,1,0,1.97,0.606210217,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
T,left,Pretarget,0,39,39,39,2915.375591,2917.376785,left,1,0,1.97,0.552179434,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
T,right,Target,0,40,40,40,2918.875054,2920.874509,right,1,0,1.97,0.59824919,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
Z,left,Distractor,0,41,41,41,2922.374024,2924.375016,left,1,0,1.97,0.661910775,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
S,left,Distractor,0,42,42,42,2925.873529,2927.874392,left,1,0,1.97,0.538530906,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
D,left,Distractor,0,43,43,43,2929.373001,2931.374359,left,1,0,1.97,0.541355569,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
Y,left,Pretarget,0,44,44,44,2932.872375,2934.872851,left,1,0,1.97,0.913203768,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
Y,right,Target,0,45,45,45,2936.371772,2938.371559,right,1,0,1.97,0.802530231,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
Z,left,Pretarget,0,46,46,46,2939.871158,2941.872048,left,1,0,1.97,0.886451434,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
Z,right,Target,0,47,47,47,2943.370635,2945.370419,right,1,0,1.97,0.576641881,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
H,left,Pretarget,0,48,48,48,2946.869955,2948.870864,left,1,0,1.97,0.513739956,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
H,right,Target,0,49,49,49,2950.369536,2952.369147,right,1,0,1.97,0.526197667,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
Z,left,Lure,0,50,50,50,2953.868784,2955.868961,left,1,0,1.97,0.480038727,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
R,left,Distractor,0,51,51,51,2957.367523,2959.369024,left,1,0,1.97,0.499025724,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
H,left,Lure,0,52,52,52,2960.867753,2962.868471,left,1,0,1.97,0.473843075,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
L,left,Distractor,0,53,53,53,2964.367254,2966.367991,left,1,0,1.97,0.619867085,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
N,left,Pretarget,0,54,54,54,2967.866399,2969.866292,left,1,0,1.97,0.407854392,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
N,right,Target,0,55,55,55,2971.365993,2973.365339,right,1,0,1.97,0.648662287,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
W,left,Distractor,0,56,56,56,2974.865083,2976.866936,left,1,0,1.97,0.60034467,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
R,left,Pretarget,0,57,57,57,2978.381532,2980.38142,left,1,0,1.97,0.564312171,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
R,right,Target,0,58,58,58,2981.880936,2983.880551,right,1,0,1.97,0.608371461,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
Q,left,Distractor,0,59,59,59,2985.379763,2987.381813,left,1,0,1.97,0.654835483,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
R,left,Lure,0,60,60,60,2988.879612,2990.880867,left,1,0,1.97,0.809107637,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
Z,left,Distractor,0,61,61,61,2992.379324,2994.380314,left,1,0,1.97,0.694048735,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
K,left,Pretarget,0,62,62,62,2995.87848,2997.878554,left,1,0,1.97,0.567531742,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
K,right,Target,0,63,63,63,2999.378016,3001.377607,right,1,0,1.97,0.612539964,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
